,
,
data_traditional.tif,
Emission wavelength,500 nm
NA,1.35
Refraction index,1.33
Voxel size,116 nm x 116 nm x 116 nm
Bead diameter,100 nm
,
Frame size,10 pixels
Threshold,1306
,
Theoretical FWHM in XY,190 nm
Theoratical FWHM in Z,642 nm
,
HeatMap Statistics,
FWHM min,285 nm +/- 4 nm
FWHMmin / Theoretical FWHMxy,1.504 +/- 0.019
FWHM max,315 nm +/- 7 nm
FWHMmax / Theoretical FWHMxy,1.66 +/- 0.04
FWHM z,857 nm +/- 44 nm
FWHMz / Theoretical FWHMz,1.334 +/- 0.068
z0,+/- 2.35 um
(z0 - mean(z0)) / FWHMz,+/- 3.658
Asymmetry,0.917 +/- 0.024
Theta,-33.1 deg +/- 8.4 deg
,

Bead Id,x0 (um),y0 (um),z0 (um),FWHM min (um),FWHM max (um),FWHM z (um),z0 - mean(z0) (um),Asymmetry,Theta (degrees),R^2 FWHM min/max,R^2 FWHMz,Fit valid,Centroid brightness,Fitted Brightness(A),Fitted background(B),Image name
73,-33.219,-18.188,5.582,0.274,0.36,0.882,-8.335,0.76,-17.56,0.978,0.998,1,6449,6090.616,200.11,data_traditional
74,50.571,-18.883,5.5,0.314,0.336,0.721,-8.418,0.934,-33.896,0.968,0.977,1,11721,11531.727,197.258,data_traditional
75,30.572,-22.559,5.495,0.277,0.295,0.645,-8.423,0.937,-46.277,0.988,0.994,1,10411,15033.578,259.862,data_traditional
76,-22.944,22.321,5.741,0.275,0.368,0.749,-8.177,0.749,-31.153,0.979,0.998,1,9281,11236.29,255.995,data_traditional
77,-9.432,-12.165,5.831,0.279,0.335,0.688,-8.087,0.833,-27.962,0.984,0.996,1,10100,11246.712,250.053,data_traditional
78,-28.987,1.768,6.19,0.266,0.349,0.719,-7.728,0.763,-22.528,0.982,0.997,1,9948,10604.518,239.145,data_traditional
79,-45.477,-2.561,6.141,0.276,0.374,0.785,-7.777,0.738,-18.32,0.977,0.999,1,6230,6127.294,209.101,data_traditional
80,19.162,-6.958,6.172,0.276,0.308,0.655,-7.746,0.899,-33.573,0.986,0.99,1,12471,14000.802,249.855,data_traditional
81,-10.905,-11.828,6.225,0.309,0.385,0.782,-7.693,0.802,-26.582,0.965,0.977,1,9857,8449.907,173.174,data_traditional
82,19.987,-23.567,6.377,0.274,0.304,0.673,-7.541,0.901,-23.432,0.987,0.994,1,17166,18098.746,316.794,data_traditional
83,-31.722,11.633,6.505,0.271,0.358,0.667,-7.412,0.757,-21.974,0.976,0.994,1,8448,10153.104,277.916,data_traditional
84,-50.979,-24.764,6.395,0.271,0.37,0.91,-7.523,0.735,-9.184,0.982,0.996,1,5029,5918.152,204.946,data_traditional
85,2.985,-20.689,6.574,0.268,0.311,0.648,-7.344,0.863,-27.573,0.987,0.996,1,11344,12060.288,223.538,data_traditional
86,46.248,21.905,6.586,0.27,0.338,0.697,-7.331,0.799,-11.411,0.984,0.991,1,11276,11284.925,236.22,data_traditional
87,1.808,18.977,6.625,0.267,0.32,0.755,-7.293,0.837,-32.4,0.983,0.998,1,10064,12770.448,297.89,data_traditional
88,35.412,4.499,6.554,0.278,0.291,0.635,-7.364,0.955,-53.349,0.993,0.996,1,11063,13425.721,262.644,data_traditional
89,53.369,-9.213,6.593,0.317,0.338,0.65,-7.325,0.937,-17.43,0.977,0.982,1,10954,10776.902,207.313,data_traditional
90,49.807,-10.132,6.775,0.279,0.286,0.634,-7.143,0.976,-65.047,0.994,0.996,1,11931,15822.394,291.544,data_traditional
91,-12.672,25.594,6.95,0.276,0.334,0.663,-6.968,0.827,-31.892,0.981,0.996,1,11851,13822.386,300.333,data_traditional
92,53.456,-4.836,6.859,0.307,0.337,0.675,-7.059,0.911,-22.231,0.973,0.986,1,10978,10737.151,214.897,data_traditional
93,43.914,-7.701,6.992,0.275,0.29,0.604,-6.926,0.947,-61.86,0.995,0.996,1,13227,18126.018,292.63,data_traditional
94,-7.523,23.29,7.136,0.271,0.352,0.657,-6.782,0.769,-27.146,0.979,0.989,1,14297,12967.158,303.887,data_traditional
95,-11.203,4.056,7.181,0.274,0.331,0.742,-6.737,0.829,-25.308,0.987,0.998,1,19316,19826.163,318.893,data_traditional
96,56.809,-7.889,7.011,0.278,0.291,0.599,-6.907,0.957,-83.446,0.993,0.999,1,9448,11435.326,264.68,data_traditional
97,-39.368,-23.16,7.114,0.27,0.356,0.833,-6.804,0.759,-11.957,0.981,0.996,1,5787,6964.223,210.836,data_traditional
98,12.397,-11.49,7.441,0.274,0.296,0.634,-6.477,0.926,-47.448,0.99,0.996,1,17565,18971.66,369.425,data_traditional
99,-21.685,-17.086,7.289,0.293,0.364,0.771,-6.629,0.806,-15.037,0.974,0.976,1,4755,6500.855,171.698,data_traditional
100,-15.211,24.819,7.534,0.271,0.33,0.644,-6.384,0.822,-24.986,0.985,0.997,1,18153,19259.49,375.538,data_traditional
101,-20.887,1.004,7.53,0.29,0.355,0.747,-6.388,0.819,-21.008,0.979,0.977,1,8570,13081.328,257.521,data_traditional
102,8.316,-9.412,7.404,0.265,0.3,0.608,-6.514,0.88,-30.131,0.982,0.998,1,11803,13460.445,304.783,data_traditional
103,11.417,-1.82,7.556,0.266,0.294,0.669,-6.362,0.904,-22.217,0.992,0.998,1,10014,12291.548,221.895,data_traditional
104,54.359,16.324,7.547,0.285,0.292,0.613,-6.37,0.976,24.498,0.992,0.996,1,7042,8572.132,248.313,data_traditional
105,-17.357,16.159,7.943,0.275,0.321,0.713,-5.974,0.858,-23.52,0.988,0.995,1,13822,16700.809,277.04,data_traditional
106,-36.679,-24.403,7.852,0.273,0.329,0.665,-6.066,0.83,-14.108,0.987,0.996,1,11450,12320.006,282.589,data_traditional
107,-15.648,6.096,8.076,0.275,0.328,0.656,-5.842,0.839,-25.349,0.986,0.983,1,13481,14647.007,288.209,data_traditional
108,51.911,-0.592,8.021,0.282,0.291,0.638,-5.896,0.969,-70.05,0.995,0.997,1,11365,14017.307,292.384,data_traditional
109,-45.292,-24.854,8.122,0.27,0.331,0.74,-5.796,0.816,-5.855,0.987,0.997,1,11166,13602.287,299.71,data_traditional
110,57.526,-9.829,8.173,0.32,0.346,0.735,-5.745,0.924,-83.349,0.97,0.978,1,7478,7350.17,206.471,data_traditional
111,-38.83,2.388,8.351,0.278,0.336,0.703,-5.567,0.828,-12.522,0.989,0.988,1,6131,6907.255,183.713,data_traditional
112,22.035,-2.056,8.452,0.276,0.295,0.627,-5.466,0.937,-23.668,0.995,0.984,1,12234,14685.09,248.719,data_traditional
113,-21.434,-10.601,8.555,0.272,0.314,0.631,-5.363,0.865,-19.297,0.99,0.99,1,10420,11342.717,235.124,data_traditional
114,-3.748,-0.163,8.7,0.271,0.299,0.623,-5.218,0.906,-21.755,0.993,0.997,1,13801,16989.886,314.09,data_traditional
115,40.248,-9.274,8.736,0.279,0.289,0.643,-5.182,0.965,-49.165,0.994,0.987,1,12242,16867.671,316.224,data_traditional
116,33.555,19.007,8.88,0.277,0.301,0.645,-5.037,0.92,-22.51,0.993,0.997,1,21135,22011.247,393.633,data_traditional
117,-46.264,-13.662,8.714,0.31,0.377,0.798,-5.204,0.824,-6.736,0.975,0.982,1,4518,4347.538,142.216,data_traditional
118,22.353,-10.102,9.349,0.277,0.294,0.63,-4.569,0.941,-11.048,0.995,0.997,1,17288,18419.588,349.305,data_traditional
119,-50.463,23.274,9.354,0.277,0.334,0.704,-4.564,0.829,-16.295,0.985,0.996,1,5755,5959.932,209.276,data_traditional
120,42.397,15.333,9.546,0.275,0.289,0.693,-4.372,0.953,-62.6,0.994,0.998,1,10836,13601.759,314.357,data_traditional
121,-7.03,2.808,9.504,0.274,0.303,0.698,-4.414,0.904,-17.07,0.994,0.997,1,11352,12600.131,231.959,data_traditional
122,-35.466,-0.436,9.422,0.275,0.313,0.72,-4.496,0.879,-12.57,0.991,0.998,1,7775,8800.215,233.36,data_traditional
123,-50.304,-14.776,9.177,0.275,0.331,0.751,-4.741,0.829,-0.366,0.988,0.997,1,3226,3749.891,158.892,data_traditional
124,26.726,13.445,9.643,0.287,0.328,0.594,-4.275,0.874,51.113,0.997,0.986,1,12050,15336.927,278.481,data_traditional
125,-1.364,-9.773,9.769,0.276,0.294,0.68,-4.149,0.937,-16.934,0.995,0.996,1,10042,12109.198,238.461,data_traditional
126,-37.662,-22.982,9.948,0.274,0.307,0.739,-3.97,0.893,-4.254,0.991,0.997,1,10118,10895.207,289.24,data_traditional
127,-23.057,3.618,10.099,0.277,0.304,0.717,-3.819,0.91,-17.46,0.992,0.981,1,6936,9212.321,237.422,data_traditional
128,48.331,-0.36,10.169,0.282,0.3,0.698,-3.748,0.941,-9.793,0.992,0.998,1,11642,12247.745,328.961,data_traditional
129,-39.985,-23.767,10.214,0.272,0.312,0.739,-3.704,0.873,-2.861,0.993,0.997,1,12596,13844.782,312.615,data_traditional
130,17.764,18.686,10.409,0.32,0.341,0.798,-3.509,0.94,-15.556,0.971,0.981,1,14113,15279.18,276.447,data_traditional
131,40.034,7.559,10.318,0.316,0.336,0.792,-3.6,0.94,-15.58,0.974,0.97,1,8996,10158.466,254.912,data_traditional
132,-18.914,6.371,10.287,0.284,0.293,0.698,-3.631,0.97,-12.659,0.994,0.989,1,10315,11049.422,233.163,data_traditional
133,3.997,22.304,10.403,0.279,0.308,0.756,-3.515,0.906,-24.796,0.993,0.977,1,10275,14076.085,316.132,data_traditional
134,-54.772,2.122,10.094,0.303,0.352,0.866,-3.824,0.86,-3.809,0.981,0.98,1,2829,2561.537,143.358,data_traditional
135,-25.619,0.536,10.316,0.277,0.306,0.763,-3.602,0.903,-13.746,0.994,0.996,1,8006,8829.267,231.936,data_traditional
136,-14.156,17.495,10.581,0.289,0.317,0.725,-3.337,0.909,-13.157,0.991,0.965,1,8950,14527.994,269.342,data_traditional
137,36.846,-11.299,10.532,0.281,0.289,0.687,-3.385,0.972,-22.114,0.993,0.997,1,11627,14577.358,347.196,data_traditional
138,53.804,-15.23,10.71,0.284,0.291,0.826,-3.208,0.977,-63.498,0.989,0.999,1,8443,9930.3,299.163,data_traditional
139,-2.816,-23.628,10.714,0.277,0.292,0.702,-3.204,0.949,-15.697,0.996,0.996,1,11492,14015.108,278.397,data_traditional
140,-33.18,7.497,10.645,0.281,0.31,0.735,-3.272,0.907,-13.682,0.992,0.99,1,6869,7643.269,206.642,data_traditional
141,-3.684,-1.437,11.572,0.281,0.297,0.706,-2.346,0.945,-13.763,0.994,0.994,1,11212,12675.02,518.682,data_traditional
142,58.437,15.147,11.043,0.285,0.296,0.836,-2.874,0.963,-59.402,0.984,0.999,1,6918,8133.468,287.943,data_traditional
143,-10.902,12.512,11.118,0.28,0.299,0.71,-2.8,0.936,-14.424,0.994,0.996,1,14946,16054.705,322.398,data_traditional
144,-5.597,25.176,11.283,0.276,0.297,0.698,-2.635,0.928,-27.577,0.994,0.996,1,15923,17660.103,354.763,data_traditional
145,-36.504,14.866,11.045,0.284,0.308,0.751,-2.873,0.922,-15.689,0.993,0.996,1,7599,8918.833,239.729,data_traditional
146,51.518,3.604,11.175,0.285,0.288,0.692,-2.743,0.989,-75.52,0.988,0.994,1,8970,9507.181,305.929,data_traditional
